section,item,role_or_type,unit,quantity,unit_price_kntd,months,subsidy_ntd,self_funded_ntd,total_ntd,public_note
summary,研發人員,category,,,,,280000,290000,570000,"簽約版預算；公開專案級科目"
summary,顧問,category,,,,,14000,36000,50000,"簽約版預算；公開專案級科目"
summary,消耗性器材及原材料費,category,,,,,57000,63000,120000,"簽約版預算"
summary,研發設備使用費,category,,,,,7000,8000,15000,"簽約版預算"
summary,研發設備維護費,category,,,,,2000,3000,5000,"簽約版預算"
summary,技術移轉及委託費,category,,,,,0,0,0,"未編列"
summary,國內差旅費,category,,,,,0,0,0,"未編列"
summary,合計,total,,,,,360000,400000,760000,"補助 47.4%；自籌 52.6%"
personnel,計畫主持人,研發人員,月,6,50,6,,,300000,"人事費概算；不含私人薪資/投保明細"
personnel,待聘研發人員,助理研究員級,月,6,45,6,,,270000,"人事費概算"
personnel,顧問,顧問,月,2,25,2,,,50000,"顧問費概算"
materials,Surlyn film 60um 熱封沙林膜,material,張,5,3,, , ,15000,"DSSC 封裝材料"
materials,TiO2 paste 18NR-T 二氧化鈦漿料,material,100g,1,5,,, ,5000,"光電極材料"
materials,Pt paste PT-1 鉑漿料,material,100g,1,3.4,,, ,3400,"對電極材料"
materials,二氧化鈦阻檔層漿料,material,100g,1,4.6,,, ,4600,"阻擋層材料"
materials,N719 染料,material,1g,1,7,,, ,7000,"染料"
materials,EL-HSE 電解液,material,50ml,5,2.6,,, ,13000,"電解液"
materials,zibra tube 班馬條 100x3x5mm 0.2 ohm,material,條,16,0.25,,, ,4000,"導電連接材料"
materials,FTO glass 導電玻璃 20x20mm TEC15,material,100片,1,3,,, ,3000,"透明導電基板"
materials,FTO glass 導電玻璃 60x60mm TEC15,material,50片,1,3,,, ,3000,"透明導電基板"
materials,FTO glass 導電玻璃 104x147x1.6mm TEC15,material,50片,1,6,,, ,6000,"透明導電基板"
materials,D149 染料,material,500mg,1,21,,, ,21000,"染料"
materials,導電銀漿 耐熱500ºC,material,500g,1,30,,, ,30000,"導電材料"
materials,染料溶劑,material,1L,1,5,,, ,5000,"製程溶劑"
equipment_use,自動溫控玻璃窯,M001,台,1,0.556,6,,,3336,"既有設備使用費"
equipment_use,示波器,M004,台,1,0.667,6,,,4002,"既有設備使用費"
equipment_use,405nm 雷射振鏡掃描系統,M005,台,1,0.556,6,,,3336,"既有設備使用費"
equipment_use,熱壓封裝電池機,M007,台,1,0.167,6,,,1002,"新增設備使用費"
equipment_use,三目顯微鏡（含500×）,M009,台,1,0.25,6,,,1500,"新增設備使用費"
equipment_use,電子負載,M010,台,1,0.278,6,,,1668,"新增設備使用費"
equipment_maintenance,示波器年度校正,M004,台,1,,, , ,2000,"研發設備維護費"
equipment_maintenance,自動溫控玻璃窯（內腔65x45x10cm）,M001,台,1,,, , ,3000,"研發設備維護費"
