A,Board A,B,Board B,same board,corr,RMSE,MAE,max |diff|
N7190621-0-1,0,N7190621-0-2,0,1,0.999814,0.013215,0.011754,0.019376
N7190621-0-1,0,N7190621-0-3,0,1,0.999857,0.011223,0.009611,0.017937
N7190621-0-1,0,N7190621-1,1,0,0.879693,0.259645,0.21241,0.436241
N7190621-0-1,0,N7190621-1-1,1,0,0.892909,0.248074,0.203834,0.413502
N7190621-0-1,0,N7190621-1-2,1,0,0.890082,0.249683,0.20452,0.41812
N7190621-0-1,0,N7190621-1-3,1,0,0.890636,0.249944,0.205095,0.417865
N7190621-0-1,0,N7190621-1-4,1,0,0.891573,0.248803,0.204171,0.41536
N7190621-0-1,0,N7190621-2,2,0,0.959001,0.163966,0.136921,0.264942
N7190621-0-1,0,N7190621-2-1,2,0,0.960157,0.162225,0.135797,0.261259
N7190621-0-1,0,N7190621-2-2,2,0,0.961775,0.159391,0.133595,0.255987
N7190621-0-1,0,N7190621-2-3,2,0,0.963299,0.157115,0.132007,0.251551
N7190621-0-1,0,N7190621-2-4,2,0,0.965526,0.152444,0.127946,0.243772
N7190621-0-2,0,N7190621-0-3,0,1,0.999957,0.004265,0.003118,0.011775
N7190621-0-2,0,N7190621-1,1,0,0.871794,0.271929,0.224164,0.454286
N7190621-0-2,0,N7190621-1-1,1,0,0.88525,0.260474,0.215586,0.432139
N7190621-0-2,0,N7190621-1-2,1,0,0.882356,0.262063,0.216274,0.436757
N7190621-0-2,0,N7190621-1-3,1,0,0.882922,0.262331,0.216849,0.436501
N7190621-0-2,0,N7190621-1-4,1,0,0.883896,0.26118,0.215925,0.433996
N7190621-0-2,0,N7190621-2,2,0,0.953628,0.176928,0.148672,0.283715
N7190621-0-2,0,N7190621-2-1,2,0,0.954852,0.175191,0.147551,0.279621
N7190621-0-2,0,N7190621-2-2,2,0,0.956562,0.172368,0.145346,0.274683
N7190621-0-2,0,N7190621-2-3,2,0,0.958179,0.170104,0.143761,0.270324
N7190621-0-2,0,N7190621-2-4,2,0,0.960541,0.165449,0.139701,0.262545
N7190621-0-3,0,N7190621-1,1,0,0.875304,0.268466,0.222008,0.445331
N7190621-0-3,0,N7190621-1-1,1,0,0.888493,0.257071,0.213438,0.42291
N7190621-0-3,0,N7190621-1-2,1,0,0.885651,0.25865,0.214117,0.427496
N7190621-0-3,0,N7190621-1-3,1,0,0.886206,0.258921,0.214694,0.427241
N7190621-0-3,0,N7190621-1-4,1,0,0.887169,0.257766,0.213769,0.424736
N7190621-0-3,0,N7190621-2,2,0,0.95518,0.174114,0.146532,0.28051
N7190621-0-3,0,N7190621-2-1,2,0,0.956386,0.172368,0.145395,0.277016
N7190621-0-3,0,N7190621-2-2,2,0,0.958048,0.169562,0.1432,0.271479
N7190621-0-3,0,N7190621-2-3,2,0,0.959625,0.167311,0.141611,0.267028
N7190621-0-3,0,N7190621-2-4,2,0,0.961918,0.162702,0.137551,0.259443
N7190621-1,1,N7190621-1-1,1,1,0.999321,0.014185,0.008946,0.030684
N7190621-1,1,N7190621-1-2,1,1,0.999517,0.01262,0.007919,0.027906
N7190621-1,1,N7190621-1-3,1,1,0.999494,0.012361,0.007744,0.026801
N7190621-1,1,N7190621-1-4,1,1,0.999458,0.012899,0.00831,0.027933
N7190621-1,1,N7190621-2,2,0,0.968687,0.110797,0.075559,0.217272
N7190621-1,1,N7190621-2-1,2,0,0.968044,0.111714,0.076629,0.218572
N7190621-1,1,N7190621-2-2,2,0,0.966521,0.114473,0.078832,0.22341
N7190621-1,1,N7190621-2-3,2,0,0.965186,0.116632,0.080457,0.226994
N7190621-1,1,N7190621-2-4,2,0,0.96277,0.121869,0.084516,0.235965
N7190621-1-1,1,N7190621-1-2,1,1,0.999974,0.002214,0.001778,0.004762
N7190621-1-1,1,N7190621-1-3,1,1,0.999984,0.002058,0.001485,0.004362
N7190621-1-1,1,N7190621-1-4,1,1,0.99999,0.001596,0.001371,0.003411
N7190621-1-1,1,N7190621-2,2,0,0.976827,0.097052,0.066964,0.187517
N7190621-1-1,1,N7190621-2-1,2,0,0.976245,0.098017,0.068053,0.189244
N7190621-1-1,1,N7190621-2-2,2,0,0.974899,0.100816,0.070246,0.194315
N7190621-1-1,1,N7190621-2-3,2,0,0.973709,0.103012,0.071867,0.198066
N7190621-1-1,1,N7190621-2-4,2,0,0.971563,0.108284,0.075927,0.207141
N7190621-1-2,1,N7190621-1-3,1,1,0.999997,0.000938,0.000832,0.001941
N7190621-1-2,1,N7190621-1-4,1,1,0.999992,0.001687,0.001291,0.003922
N7190621-1-2,1,N7190621-2,2,0,0.975361,0.098856,0.067826,0.191621
N7190621-1-2,1,N7190621-2-1,2,0,0.974757,0.099829,0.068838,0.193348
N7190621-1-2,1,N7190621-2-2,2,0,0.973368,0.102634,0.070961,0.19852
N7190621-1-2,1,N7190621-2-3,2,0,0.97214,0.104836,0.072694,0.202208
N7190621-1-2,1,N7190621-2-4,2,0,0.96993,0.110104,0.076739,0.211244
N7190621-1-3,1,N7190621-1-4,1,1,0.999996,0.001539,0.001332,0.002905
N7190621-1-3,1,N7190621-2,2,0,0.975652,0.099017,0.068248,0.191721
N7190621-1-3,1,N7190621-2-1,2,0,0.975054,0.099988,0.069313,0.193448
N7190621-1-3,1,N7190621-2-2,2,0,0.973675,0.10279,0.071506,0.198518
N7190621-1-3,1,N7190621-2-3,2,0,0.972455,0.10499,0.073143,0.20227
N7190621-1-3,1,N7190621-2-4,2,0,0.97026,0.11026,0.0772,0.211344
N7190621-1-4,1,N7190621-2,2,0,0.975987,0.098253,0.06744,0.190009
N7190621-1-4,1,N7190621-2-1,2,0,0.975399,0.099202,0.068451,0.191736
N7190621-1-4,1,N7190621-2-2,2,0,0.974032,0.101992,0.070607,0.196807
N7190621-1-4,1,N7190621-2-3,2,0,0.972825,0.10418,0.072308,0.200558
N7190621-1-4,1,N7190621-2-4,2,0,0.970647,0.109448,0.076364,0.209633
N7190621-2,2,N7190621-2-1,2,1,0.99999,0.002093,0.001677,0.004383
N7190621-2,2,N7190621-2-2,2,1,0.999943,0.00484,0.003722,0.009414
N7190621-2,2,N7190621-2-3,2,1,0.999861,0.007258,0.005354,0.014103
N7190621-2,2,N7190621-2-4,2,1,0.999656,0.012262,0.00902,0.022704
N7190621-2-1,2,N7190621-2-2,2,1,0.999977,0.00306,0.002259,0.006109
N7190621-2-1,2,N7190621-2-3,2,1,0.99992,0.005515,0.00397,0.010603
N7190621-2-1,2,N7190621-2-4,2,1,0.999748,0.010753,0.007946,0.019432
N7190621-2-2,2,N7190621-2-3,2,1,0.999981,0.002491,0.001847,0.005083
N7190621-2-2,2,N7190621-2-4,2,1,0.999875,0.007757,0.005837,0.013727
N7190621-2-3,2,N7190621-2-4,2,1,0.999951,0.005416,0.004126,0.009173
